market,strategy,trades,total_return_pct,max_drawdown_pct,win_rate_pct,sharpe
KRW-XLM,breakout_close_k05,187,-33.22448905548032,-34.69948581244602,29.383886255924168,-5.572789564148949
KRW-ZBT,sma_cross_20_80,23,7.545727853886874,-56.57507696732276,35.32651455546814,0.8329414662772384
KRW-ZBT,ema_cross_12_48,46,-32.18133505531194,-54.25295294608574,34.82786228983187,-0.13254618676019933
KRW-ZBT,trend_sma50_200,65,-40.51697959152366,-52.509771847908326,35.18776077885953,-0.5825258799339544
KRW-ZBT,donchian_20_10,30,-36.558740047327106,-55.2569782543898,35.547240411599624,-0.3948645330932914
KRW-ZBT,momentum_24_120,115,-54.966512815702814,-63.517693531172426,35.580524344569284,-1.198484896949359
KRW-ZBT,rsi_reversion_30_55,50,18.939982707784054,-28.789991651509695,35.00545256270447,1.0677150971740164
KRW-ZBT,bb_reversion_20_2,44,7.641577240959796,-19.82510494735884,34.22712933753943,0.6700496809344185
KRW-ZBT,breakout_close_k05,262,-74.00487669990952,-78.8034047417334,30.74433656957929,-3.8963060450057645
KRW-ADA,sma_cross_20_80,31,-35.82186589530089,-38.38721202194174,36.85800604229607,-2.836794325854643
KRW-ADA,ema_cross_12_48,44,-41.443493107011264,-47.61970199454005,35.30326594090202,-3.5440215947816833
KRW-ADA,trend_sma50_200,50,-23.675840412418626,-31.651168168408894,34.44881889763779,-2.6717491583469863
KRW-ADA,donchian_20_10,36,-19.327302750668206,-28.235390196800836,37.34115347018573,-1.435084551806853
KRW-ADA,momentum_24_120,67,-27.61993130934891,-31.595353693478778,35.09803921568627,-3.1702615149679696
KRW-ADA,rsi_reversion_30_55,51,-18.976389829235764,-27.38803029439023,39.173228346456696,-1.386591512523995
KRW-ADA,bb_reversion_20_2,49,-12.80448356451126,-23.108409823545983,39.76878612716763,-0.9168821606832973
KRW-ADA,breakout_close_k05,255,-32.99560182140249,-35.17138566280234,32.87671232876712,-4.620400433238531
KRW-ORCA,sma_cross_20_80,23,38.57420212701235,-38.65604433668166,45.962732919254655,1.3466027646060303
KRW-ORCA,ema_cross_12_48,42,9.097339523549653,-48.56703291898833,44.743276283618584,0.9106734405534009
KRW-ORCA,trend_sma50_200,38,58.38630155820241,-46.84974619364623,46.20253164556962,1.5957004751668247
KRW-ORCA,donchian_20_10,39,58.87535873983572,-32.78112419407238,45.54759467758444,1.6199430100720635
KRW-ORCA,momentum_24_120,87,36.12053631228418,-49.30693864189488,44.984802431610944,1.3033816664401912
KRW-ORCA,rsi_reversion_30_55,43,-29.355680764473846,-48.2852946114136,44.6078431372549,-0.861030709725004
KRW-ORCA,bb_reversion_20_2,55,-20.655139157089085,-34.480994847665826,45.77226606538895,-0.9045565104379616
